"serial","orthography","klattese","frequency","stratum","density"
1,"이","i",638362,"native",81
2,"것","g^s",306021,"native",28
3,"하","ha",198264,"native",74
4,"수","su",117579,"native",73
5,"되","d@",111653,"native",40
6,"그","gx",109987,"native",39
7,"않","anh",103362,"native",10
8,"나","na",97710,"native",68
9,"말","mal",83043,"native",49
10,"사람","salam",71851,"native",12
11,"아니","ani",65551,"native",28
12,"등","dxG",59297,"sino",25
13,"우리","uli",58091,"sino",45
14,"우리","uli",58091,"native",45
15,"지","zi",57685,"sino",87
16,"보","bo",57031,"native",53
17,"때","DE",54689,"native",47
18,"년","nVn",52668,"sino",27
19,"일","il",46490,"native",62
20,"주","zu",44855,"sino",75
21,"주","zu",44855,"native",75
22,"생각","sEGgag",39918,"native",4
23,"때문","DEmun",39053,"native",2
24,"보","bo",38183,"sino",53
25,"한","han",36680,"sino",61
26,"한","han",36680,"native",61
27,"그러나","gxl^na",36148,"native",1
28,"가","ga",36105,"sino",84
29,"가","ga",36105,"native",84
30,"일","il",32845,"sino",62
31,"사회","sah@",28750,"sino",13
32,"더","d^",27750,"native",40
33,"문제","munzE",26805,"sino",11
34,"또","Do",26735,"native",36
35,"오","o",26457,"sino",67
36,"오","o",26457,"native",67
37,"그리고","gxligo",26098,"native",0
38,"속","sog",25529,"native",67
39,"씨","Si",24906,"sino",38
40,"씨","Si",24906,"native",38
41,"월","wl",23928,"sino",24
42,"월","wl",23928,"native",24
43,"살","sal",22803,"native",57
44,"경우","gVGu",22017,"sino",19
45,"명","mVG",21856,"sino",33
46,"좋","zoh",21620,"native",18
47,"자신","zasin",21557,"sino",21
48,"두","du",21016,"sino",50
49,"두","du",21016,"native",50
50,"하나","hana",20927,"native",17
51,"안","an",20439,"sino",76
52,"그런","gxl^n",20008,"native",4
53,"내","nE",19858,"sino",66
54,"내","nE",19858,"native",66
55,"다시","dasi",19711,"sino",23
56,"다시","dasi",19711,"native",23
57,"데","dE",19200,"native",74
58,"다른","dalxn",18981,"native",3
59,"번","b^n",18871,"sino",37
60,"번","b^n",18871,"native",37
61,"앞","ap",18776,"native",25
62,"시작","sizag",18496,"sino",7
63,"잘","zal",18464,"native",50
64,"한국","hangug",18054,"sino",5
65,"그러","gxl^",17980,"native",10
66,"원","wn",17857,"native",34
67,"보이","boi",17781,"native",32
68,"아이","ai",17545,"native",68
69,"세계","sEgJ",17367,"sino",10
70,"소리","soli",17297,"native",47
71,"무엇","mu^s",17229,"native",6
72,"정부","z^Gbu",16984,"sino",15
73,"사실","sasil",16947,"sino",13
74,"통하","toGha",16909,"sino",7
